[Measurement Properties]
Wavelength Range (nm.):	740,00 to 1050,00
Scan Speed:	Very Slow
Sampling Interval:	0,2
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	WI
Detector Unit:	Integral Sphere
Detector Change Wavelength:	920,00 nm  1650,00 nm
Grating Change Wavelength:	850,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	POSITION_1.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	04MAY2015
FILTER#12
BRAZIL

Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
744,00	100,036	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,010	0,009	0,008	0,010	0,009	0,009	0,009	0,009	0,010	0,009	0,009	0,009	0,009	0,009	0,010	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,010	0,009	0,010	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,010	0,010	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,010	0,009	0,009	0,009	0,009	0,009	0,009	0,010	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	100,064
744,20	100,034	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,010	0,010	0,009	0,009	0,010	0,009	0,009	0,009	0,009	0,010	0,009	0,010	0,009	0,009	0,009	0,010	0,009	0,009	0,010	0,009	0,009	0,010	0,009	0,009	0,009	0,009	0,009	0,009	0,010	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,009	0,010	0,009	0,010	0,009	0,009	0,009	0,009	0,009	0,010	0,009	0,009	0,009	0,010	0,009	0,009	0,010	0,010	0,010	0,009	0,009	0,009	0,010	0,009	0,009	0,009	0,009	0,010	0,009	0,009	0,009	0,009	0,009	0,009	0,010	0,009	0,009	0,009	0,009	0,009	0,010	0,010	0,009	0,010	0,009	0,009	0,009	0,009	0,010	0,009	0,009	0,010	100,059
744,40	100,036	0,009	0,009	0,009	0,009	0,009	0,010	0,009	0,010	0,010	0,010	0,009	0,010	0,009	0,010	0,009	0,009	0,010	0,009	0,010	0,009	0,009	0,009	0,010	0,009	0,009	0,010	0,010	0,009	0,010	0,009	0,009	0,009	0,009	0,009	0,009	0,010	0,009	0,009	0,009	0,010	0,009	0,010	0,009	0,009	0,009	0,009	0,010	0,009	0,009	0,010	0,009	0,010	0,010	0,009	0,009	0,009	0,009	0,010	0,010	0,009	0,009	0,010	0,009	0,009	0,010	0,010	0,010	0,009	0,009	0,009	0,010	0,009	0,009	0,009	0,009	0,010	0,009	0,010	0,009	0,009	0,010	0,009	0,010	0,010	0,009	0,010	0,009	0,010	0,010	0,010	0,010	0,010	0,009	0,009	0,009	0,009	0,010	0,010	0,010	0,010	100,051
744,60	100,039	0,009	0,009	0,009	0,009	0,009	0,010	0,009	0,010	0,010	0,010	0,009	0,010	0,010	0,010	0,009	0,010	0,010	0,009	0,010	0,009	0,009	0,009	0,010	0,010	0,010	0,010	0,010	0,009	0,010	0,009	0,010	0,009	0,009	0,009	0,010	0,010	0,010	0,009	0,009	0,010	0,009	0,009	0,010	0,009	0,010	0,009	0,010	0,009	0,009	0,010	0,009	0,010	0,010	0,009	0,010	0,009	0,010	0,010	0,010	0,010	0,009	0,010	0,010	0,009	0,010	0,010	0,010	0,009	0,010	0,009	0,010	0,010	0,010	0,009	0,009	0,010	0,009	0,010	0,010	0,010	0,010	0,009	0,010	0,010	0,009	0,010	0,009	0,010	0,010	0,010	0,010	0,010	0,010	0,009	0,010	0,010	0,010	0,010	0,010	0,010	100,059
744,80	100,030	0,010	0,010	0,010	0,010	0,009	0,010	0,009	0,010	0,010	0,010	0,009	0,010	0,010	0,010	0,010	0,010	0,010	0,009	0,010	0,009	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,009	0,010	0,010	0,010	0,010	0,010	0,009	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,009	0,009	0,010	0,010	0,010	0,010	0,010	0,010	0,009	0,010	0,010	0,010	0,010	0,009	0,010	0,010	0,009	0,010	0,010	0,010	0,009	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	100,057
745,00	100,021	0,010	0,010	0,010	0,010	0,010	0,010	0,009	0,010	0,010	0,010	0,009	0,010	0,010	0,010	0,010	0,010	0,010	0,009	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,009	0,010	0,010	0,010	0,010	0,009	0,010	0,010	0,010	0,010	0,010	0,010	0,009	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	100,050
745,20	100,021	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,011	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,011	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,009	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,011	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	100,054
745,40	100,016	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,011	0,011	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,011	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,011	0,011	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,011	0,010	0,011	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,009	0,011	0,010	0,010	0,011	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,011	0,010	0,011	0,010	0,010	0,010	0,010	0,011	0,011	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,011	100,052
745,60	100,008	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,011	0,011	0,011	0,010	0,010	0,010	0,010	0,010	0,011	0,011	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,011	0,011	0,010	0,010	0,011	0,010	0,011	0,010	0,010	0,010	0,011	0,011	0,010	0,010	0,010	0,011	0,010	0,010	0,010	0,010	0,011	0,010	0,011	0,010	0,010	0,011	0,010	0,011	0,010	0,010	0,010	0,010	0,011	0,010	0,011	0,010	0,010	0,011	0,010	0,010	0,011	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,011	0,010	0,011	0,010	0,010	0,011	0,010	0,011	0,011	0,010	0,011	0,010	0,011	0,011	0,010	0,010	0,011	0,011	0,010	0,011	0,010	0,011	0,010	0,010	0,011	100,050
745,80	100,007	0,011	0,011	0,010	0,011	0,010	0,010	0,010	0,011	0,011	0,011	0,010	0,011	0,010	0,010	0,010	0,011	0,011	0,010	0,011	0,010	0,010	0,010	0,010	0,010	0,011	0,011	0,011	0,010	0,011	0,010	0,011	0,010	0,010	0,010	0,011	0,011	0,011	0,010	0,010	0,011	0,010	0,010	0,010	0,011	0,011	0,010	0,011	0,011	0,010	0,011	0,011	0,011	0,011	0,010	0,011	0,010	0,011	0,011	0,011	0,010	0,010	0,011	0,010	0,010	0,011	0,010	0,011	0,010	0,010	0,010	0,010	0,011	0,011	0,011	0,010	0,011	0,010	0,011	0,010	0,011	0,011	0,010	0,011	0,011	0,010	0,011	0,010	0,011	0,011	0,010	0,011	0,011	0,011	0,011	0,011	0,010	0,011	0,010	0,011	0,011	100,044
746,00	100,003	0,011	0,011	0,010	0,011	0,010	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,010	0,011	0,011	0,010	0,011	0,010	0,011	0,011	0,011	0,010	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,010	0,011	0,011	0,011	0,011	0,011	0,010	0,011	0,011	0,010	0,010	0,010	0,011	0,011	0,010	0,011	0,011	0,010	0,011	0,011	0,011	0,011	0,011	0,011	0,010	0,011	0,011	0,011	0,011	0,010	0,011	0,011	0,010	0,011	0,011	0,011	0,010	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,010	0,011	0,010	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	100,044
746,20	99,996	0,011	0,011	0,010	0,011	0,010	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,010	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,010	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,010	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,010	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	100,048
746,40	100,001	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,010	0,011	0,011	0,011	0,011	0,011	0,011	0,012	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,010	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	100,047
746,60	99,997	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,012	0,012	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,012	0,011	0,011	0,011	0,012	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,012	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,012	0,011	0,011	0,011	0,012	0,011	0,011	0,011	0,011	0,012	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,012	0,011	0,011	0,012	0,011	0,011	0,011	0,012	0,011	0,011	0,011	0,011	0,012	0,011	0,011	0,011	0,012	0,011	0,011	0,011	100,053
746,80	99,997	0,012	0,012	0,011	0,011	0,011	0,011	0,011	0,012	0,011	0,012	0,012	0,011	0,011	0,011	0,011	0,012	0,011	0,011	0,012	0,011	0,011	0,012	0,011	0,011	0,012	0,011	0,012	0,011	0,012	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,012	0,011	0,012	0,012	0,011	0,011	0,011	0,011	0,012	0,011	0,011	0,011	0,011	0,012	0,011	0,011	0,011	0,012	0,011	0,011	0,012	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,012	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,011	0,012	0,011	0,011	0,011	0,012	0,011	0,012	0,012	0,012	0,011	0,012	0,011	0,012	0,011	0,012	0,012	0,011	0,012	0,011	0,012	0,012	0,012	0,012	0,012	0,011	0,011	0,012	100,063
747,00	99,998	0,012	0,012	0,011	0,011	0,011	0,011	0,011	0,012	0,011	0,012	0,012	0,011	0,011	0,011	0,011	0,012	0,011	0,011	0,012	0,012	0,011	0,012	0,011	0,012	0,012	0,012	0,012	0,011	0,012	0,011	0,011	0,012	0,012	0,011	0,011	0,011	0,012	0,011	0,012	0,012	0,011	0,011	0,011	0,011	0,012	0,012	0,012	0,012	0,011	0,012	0,012	0,012	0,012	0,012	0,011	0,011	0,012	0,011	0,011	0,011	0,011	0,012	0,011	0,011	0,012	0,011	0,011	0,012	0,011	0,012	0,012	0,012	0,012	0,012	0,011	0,011	0,011	0,012	0,011	0,012	0,012	0,012	0,012	0,012	0,011	0,012	0,012	0,012	0,012	0,011	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,011	0,011	0,012	100,067
747,20	99,993	0,012	0,012	0,011	0,012	0,011	0,012	0,011	0,012	0,012	0,012	0,012	0,012	0,011	0,011	0,011	0,012	0,012	0,011	0,012	0,012	0,012	0,012	0,011	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,011	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,011	0,011	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,011	0,011	0,012	0,012	0,012	0,012	0,011	0,012	0,012	0,012	0,012	0,012	0,011	0,012	0,012	0,012	0,012	0,012	0,011	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,011	0,011	0,012	100,068
747,40	99,997	0,012	0,012	0,011	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,011	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,013	0,012	0,011	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,011	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	100,075
747,60	100,004	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,013	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,013	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,013	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	100,074
747,80	99,998	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,013	0,012	0,012	0,013	0,012	0,012	0,013	0,012	0,012	0,013	0,012	0,012	0,012	0,012	0,013	0,012	0,012	0,012	0,012	0,012	0,012	0,013	0,013	0,013	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,013	0,012	0,012	0,012	0,012	0,013	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,013	0,012	0,012	0,012	0,012	0,012	0,013	0,012	0,012	0,012	0,012	0,012	0,012	0,013	0,012	0,012	0,013	0,012	0,012	0,013	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,013	0,012	0,012	0,012	100,062
748,00	99,998	0,013	0,012	0,012	0,012	0,013	0,012	0,012	0,012	0,012	0,013	0,013	0,012	0,012	0,012	0,012	0,013	0,012	0,012	0,013	0,013	0,012	0,013	0,013	0,013	0,013	0,012	0,012	0,012	0,012	0,013	0,012	0,013	0,012	0,012	0,012	0,012	0,013	0,013	0,013	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,013	0,013	0,013	0,012	0,012	0,012	0,013	0,012	0,012	0,013	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,012	0,013	0,012	0,013	0,013	0,012	0,012	0,013	0,012	0,013	0,012	0,013	0,012	0,013	0,013	0,012	0,013	0,013	0,012	0,013	0,013	0,013	0,013	0,012	0,012	0,012	0,012	0,012	0,012	0,013	0,013	0,013	0,012	0,012	100,062
748,20	100,000	0,013	0,013	0,012	0,012	0,013	0,013	0,012	0,013	0,012	0,013	0,013	0,013	0,012	0,013	0,012	0,013	0,013	0,013	0,013	0,013	0,012	0,013	0,013	0,013	0,013	0,012	0,013	0,013	0,013	0,013	0,012	0,013	0,012	0,012	0,012	0,012	0,013	0,013	0,013	0,013	0,012	0,012	0,013	0,013	0,013	0,013	0,012	0,013	0,013	0,013	0,012	0,012	0,013	0,013	0,012	0,012	0,013	0,012	0,013	0,012	0,012	0,013	0,013	0,013	0,013	0,013	0,012	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,012	0,012	0,012	0,013	0,013	0,013	0,013	0,013	0,013	0,012	0,013	100,070
748,40	100,005	0,013	0,013	0,012	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,012	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,012	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,012	0,013	0,013	0,013	0,012	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,012	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,012	0,013	100,080
748,60	100,006	0,013	0,013	0,012	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,014	0,013	0,013	0,013	0,013	0,013	0,013	0,014	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,014	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,014	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	100,072
748,80	100,017	0,013	0,013	0,013	0,013	0,014	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,014	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,014	0,013	0,013	0,013	0,013	0,013	0,013	0,014	0,014	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,014	0,014	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,014	0,013	0,013	0,013	0,013	0,013	0,014	0,014	0,014	0,013	0,013	0,013	0,013	0,013	0,013	0,014	0,013	0,013	0,013	0,013	0,014	0,014	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,014	0,014	0,013	0,013	100,076
749,00	100,015	0,014	0,013	0,013	0,013	0,014	0,013	0,013	0,014	0,013	0,013	0,013	0,013	0,013	0,013	0,013	0,014	0,014	0,014	0,014	0,014	0,013	0,013	0,013	0,014	0,013	0,013	0,013	0,014	0,013	0,014	0,013	0,013	0,013	0,013	0,013	0,013	0,014	0,014	0,014	0,014	0,013	0,013	0,014	0,013	0,014	0,014	0,013	0,014	0,014	0,014	0,013	0,013	0,013	0,014	0,013	0,013	0,013	0,014	0,013	0,014	0,013	0,013	0,013	0,013	0,014	0,013	0,013	0,014	0,013	0,014	0,013	0,013	0,013	0,014	0,014	0,014	0,013	0,013	0,013	0,014	0,013	0,013	0,014	0,013	0,013	0,013	0,014	0,014	0,014	0,014	0,013	0,013	0,013	0,013	0,013	0,014	0,014	0,014	0,013	0,013	100,085
749,20	100,020	0,014	0,014	0,013	0,014	0,014	0,014	0,013	0,014	0,013	0,014	0,014	0,014	0,013	0,013	0,014	0,014	0,014	0,014	0,014	0,014	0,013	0,013	0,014	0,014	0,014	0,013	0,013	0,014	0,014	0,014	0,013	0,013	0,013	0,013	0,013	0,013	0,014	0,014	0,014	0,014	0,014	0,013	0,014	0,014	0,014	0,014	0,013	0,014	0,014	0,014	0,013	0,013	0,014	0,014	0,013	0,013	0,013	0,014	0,014	0,014	0,013	0,013	0,013	0,013	0,014	0,013	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,013	0,013	0,014	0,014	0,014	0,014	0,013	0,013	0,014	0,014	0,014	0,014	0,014	0,013	0,013	0,014	0,013	0,014	0,014	0,014	0,014	0,013	0,014	100,082
749,40	100,022	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,013	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,013	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,013	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,013	0,014	0,013	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,015	0,014	0,013	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	100,076
749,60	100,018	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,015	0,014	0,014	0,014	0,014	0,014	0,015	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,015	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,015	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	100,076
749,80	100,020	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,015	0,015	0,015	0,014	0,014	0,015	0,014	0,014	0,014	0,015	0,014	0,014	0,014	0,014	0,014	0,015	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,015	0,014	0,015	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,015	0,015	0,014	0,014	0,015	0,014	0,014	0,014	0,014	0,014	0,015	0,015	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,015	0,014	0,014	0,014	0,014	0,015	0,015	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,014	0,015	0,014	0,014	0,014	0,014	0,014	0,015	0,014	0,014	0,015	0,014	0,014	100,068
750,00	100,027	0,015	0,014	0,014	0,014	0,015	0,015	0,014	0,015	0,014	0,014	0,014	0,014	0,014	0,014	0,015	0,015	0,015	0,014	0,015	0,015	0,014	0,014	0,015	0,015	0,014	0,014	0,015	0,015	0,014	0,015	0,014	0,014	0,014	0,014	0,015	0,015	0,015	0,015	0,014	0,015	0,015	0,014	0,014	0,015	0,015	0,015	0,014	0,015	0,015	0,015	0,014	0,014	0,015	0,015	0,015	0,014	0,014	0,015	0,015	0,015	0,014	0,014	0,014	0,014	0,015	0,014	0,015	0,014	0,014	0,015	0,015	0,014	0,015	0,014	0,015	0,015	0,015	0,014	0,015	0,015	0,014	0,015	0,015	0,015	0,014	0,014	0,015	0,015	0,015	0,015	0,014	0,014	0,014	0,014	0,015	0,015	0,015	0,015	0,014	0,015	100,070
